reporter_name,reporter_code,year,classification,classification_version,duty_scheme_code,duty_scheme_name,product_code,mtn_categories,simple_average,trade_weighted,duty_free_share
"United States of America",C840,2006,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",TOTAL,"All products",3.58629445933632,2.27350274402357,0.455674310872894
"United States of America",C840,2015,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",TOTAL,"All products",3.49246968524437,2.3999101640492,0.459897252641691
"United States of America",C840,2020,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",TOTAL,"All products",3.50559929863606,2.29561806711997,0.47352567291628
"United States of America",C840,2009,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",TOTAL,"All products",3.56756235448739,2.1715993145274,0.452588677751386
"United States of America",C840,2023,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",TOTAL,"All products",3.39866697061133,2.18951017018121,0.475142480399144
"United States of America",C840,2021,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",TOTAL,"All products",3.47049444178907,2.26388887066285,0.473432856877668
"United States of America",C840,2013,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",TOTAL,"All products",3.49366972589614,2.19826289945232,0.459699423631124
"United States of America",C840,2000,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",TOTAL,"All products",3.93665926314431,2.75058139442761,0.37551709368277
"United States of America",C840,1996,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",TOTAL,"All products",5.13409022344821,3.71824682061008,0.220285409739879
"United States of America",C840,1997,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",TOTAL,"All products",4.8534146564443,3.96130492565947,0.217594308625074
"United States of America",C840,2002,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",TOTAL,"All products",3.88658781818525,2.86849551476395,0.368058518376723
"United States of America",C840,2011,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",TOTAL,"All products",3.53328357520621,2.12374831092478,0.452588677751386
"United States of America",C840,2012,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",TOTAL,"All products",3.48387661828292,2.11810620304151,0.459664438040346
"United States of America",C840,1998,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",TOTAL,"All products",4.46336326173379,3.31395418772596,0.22138990807745
"United States of America",C840,2004,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",TOTAL,"All products",3.65998989139291,2.52525329268397,0.43332354517611
"United States of America",C840,2007,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",TOTAL,"All products",3.59720868933027,2.21953479800685,0.452041587490103
"United States of America",C840,2010,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",TOTAL,"All products",3.53022738179854,2.1216819504184,0.452450118764846
"United States of America",C840,2016,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",TOTAL,"All products",3.47402518020303,2.42220365678958,0.466002708933718
"United States of America",C840,1999,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",TOTAL,"All products",4.17820453574732,3.06713257680024,0.351831331899081
"United States of America",C840,2001,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",TOTAL,"All products",3.94128309061971,2.89650851055773,0.367005730490906
"United States of America",C840,2005,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",TOTAL,"All products",3.54774597534253,2.35948676038323,0.455852545941807
"United States of America",C840,2003,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",TOTAL,"All products",3.77230576594283,2.74903731098103,0.36857595712098
"United States of America",C840,2014,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",TOTAL,"All products",3.49360696572963,2.23932335161376,0.459712238232469
"United States of America",C840,2017,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",TOTAL,"All products",3.42802021437295,2.31966507813175,0.467557768702432
"United States of America",C840,2008,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",TOTAL,"All products",3.59022638098076,1.98338309146427,0.452239528899446
"United States of America",C840,2018,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",TOTAL,"All products",3.45246699677732,2.31541943718883,0.463248709857063
"United States of America",C840,2019,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",TOTAL,"All products",3.39697465805635,2.3895680296766,0.468089660293299
"United States of America",C840,2022,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",TOTAL,"All products",3.38707039858535,2.22547474964771,0.475310192444761
"United States of America",C840,2024,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",TOTAL,"All products",3.44724740711035,2.23618389623488,0.474786101211689
